id;start_date;end_date;language
1;2019-08-08T07:08:33;2019-08-08T00:16:50;FRENCH
2;2019-08-08T08:38:38;2019-08-07T17:44:48;SPANISH
3;2019-08-08T04:10:43;2019-08-07T19:34:43;FRENCH
4;2019-08-07T17:22:34;2019-08-08T00:49:36;ENGLISH
5;2019-08-08T02:21:13;2019-08-08T07:05:22;FRENCH
6;2019-08-08T08:38:14;2019-08-08T09:55:10;SPANISH
7;2019-08-07T18:00:33;2019-08-08T06:41:20;SPANISH
8;2019-08-07T15:31:52;2019-08-07T23:32:01;FRENCH
9;2019-08-08T01:19:58;2019-08-08T09:44:36;ENGLISH
10;2019-08-08T04:38:08;2019-08-08T01:54:22;ENGLISH
